english_term	hindi_equivalent	maithili	ipa_maithili	domain
speech recognition	वाक् पहचान	[TRANSLATE:speech recognition]		speech_processing
automatic speech recognition	स्वचालित वाक् पहचान	[TRANSLATE:automatic speech recognition]		speech_processing
speech-to-text	वाक्-से-पाठ	[TRANSLATE:speech-to-text]		speech_processing
text-to-speech	पाठ-से-वाक्	[TRANSLATE:text-to-speech]		speech_processing
speech synthesis	वाक् संश्लेषण	[TRANSLATE:speech synthesis]		speech_processing
CTC	सीटीसी	दिल्ली डिस्ट्रिक्ट कोर्ट की आधिकारिक वेबसाइट @delhicourts.nic.in पर जाएं।		speech_processing
sequence-to-sequence	अनुक्रम-से-अनुक्रम	[TRANSLATE:sequence-to-sequence]		speech_processing
attention mechanism	ध्यान तंत्र	[TRANSLATE:attention mechanism]		speech_processing
beam search	बीम सर्च	[TRANSLATE:beam search]		speech_processing
language model	भाषा मॉडल	[TRANSLATE:language model]		speech_processing
acoustic model	ध्वनिक मॉडल	[TRANSLATE:acoustic model]		speech_processing
hidden Markov model	छुपा मार्कोव मॉडल	[TRANSLATE:hidden Markov model]		speech_processing
Viterbi algorithm	विटरबी एल्गोरिथ्म	[TRANSLATE:Viterbi algorithm]		speech_processing
Baum-Welch algorithm	बाम-वेल्च एल्गोरिथ्म	[TRANSLATE:Baum-Welch algorithm]		speech_processing
Gaussian mixture model	गॉसियन मिश्रण मॉडल	[TRANSLATE:Gaussian mixture model]		speech_processing
GRU		10 अहाँ सभ कुड़बुड़ाउ नहि, जेना कि हुनका सभ मे सँ किछु लोक कयलनि आ विनाशक दूत द्वारा मारल गेलाह।		speech_processing
transformer	ट्रांसफार्मर	[TRANSLATE:transformer]		speech_processing
encoder	एनकोडर	[TRANSLATE:encoder]		speech_processing
decoder	डिकोडर	[TRANSLATE:decoder]		speech_processing
wav2vec	वेव2वेक	[TRANSLATE:wav2vec]		speech_processing
whisper	व्हिस्पर	(आला लगाए देखि कें) ठीक छी।		speech_processing
word error rate	शब्द त्रुटि दर	[TRANSLATE:word error rate]		speech_processing
voice cloning	आवाज़ क्लोनिंग	[TRANSLATE:voice cloning]		speech_processing
voice conversion	आवाज़ रूपांतरण	[TRANSLATE:voice conversion]		speech_processing
code-switching	कोड-स्विचिंग	[TRANSLATE:code-switching]		speech_processing
multilingual		प्रेस विज्ञप्ति ६ भाषाओँ में (अंग्रेजी, मैन्डरिन, स्पेनिश, रुसी, पुर्तगाली, फ़्रांसिसी)		speech_processing
speaker embedding	वक्ता अंतःस्थापन	[TRANSLATE:speaker embedding]		speech_processing
speech enhancement	वाक् संवर्धन	[TRANSLATE:speech enhancement]		speech_processing
noise cancellation	शोर रद्दीकरण	[TRANSLATE:noise cancellation]		speech_processing
speech corpus	वाक् संग्रह	[TRANSLATE:speech corpus]		speech_processing
speech quality	वाक् गुणवत्ता	[TRANSLATE:speech quality]		speech_processing
mean opinion score	औसत राय अंक	[TRANSLATE:mean opinion score]		speech_processing
forced alignment	बाध्य संरेखण	[TRANSLATE:forced alignment]		speech_processing
signal	संकेत	कोनो संकेतो नहि अछि।		signal_processing
noise	शोर	• पर्यावरण अवकर्षण, वायु, जल, भूमि, ध्वनि, रेडियोधर्मिता प्रदूषण: कारण, प्रभाव एवं निदान		signal_processing
signal-to-noise ratio	संकेत-से-शोर अनुपात	[TRANSLATE:signal-to-noise ratio]		signal_processing
frequency	आवृत्ति	आउटपुट आवृत्ति सटीकता (हर्ट्ज) 50 ± 0.05		signal_processing
amplitude	आयाम	[TRANSLATE:amplitude]		signal_processing
phase	कला	1. वीजपुरवठाः तीन-चरण-चार वायर सिस्टम (ए, बी, सी, पीई), 380 व्ही / 50 हर्ट्ज		signal_processing
waveform	तरंगरूप	[TRANSLATE:waveform]		signal_processing
